Price,Hostel No.,Occupancy,Room Size,Floor
2540.0,3,1,686,8
2900.0,3,2,966,5
,3,1,788,8
2362.0,3,2,924,2
,3,2,1098,5
,3,3,1098,5
1432.0,2,1,706,3
1702.0,2,2,1038,3
2100.0,3,1,667,3
2200.0,3,2,958,3
1562.0,2,2,908,2
550.0,1,4,1548,3
4300.0,3,1,794,8
1642.0,2,3,1384,1
976.0,1,2,875,4
,3,1,758,6
2960.0,3,1,624,6
1367.0,2,3,1372,4
2220.0,3,2,1151,1
1660.0,2,2,1067,4
1440.0,2,1,729,1
,3,3,1350,8
1214.0,1,3,1055,2
,2,3,1088,6
1280.0,2,2,1139,3
1400.0,2,2,1179,4
1580.0,2,2,967,4
1980.0,2,2,1056,3
1375.0,2,2,1100,1
,1,1,735,7
1290.0,2,2,1027,4
1740.0,2,2,1127,1
2720.0,3,2,907,7
,1,1,727,6
1900.0,2,2,995,1
1710.0,2,2,1178,3
2400.0,3,2,1003,1
,2,1,655,8
1030.0,1,3,1297,3
2600.0,3,1,772,7
3270.0,3,2,1035,8
,1,4,1287,6
934.0,1,2,998,3
1560.0,2,2,1077,4
1730.0,2,4,1726,3
1624.0,2,3,1026,4
1062.0,1,3,1299,3
2320.0,3,3,1299,2
2350.0,3,3,1127,3
600.0,1,2,963,3
1320.0,2,2,1116,4
,2,1,756,8
1040.0,1,3,1156,1
1900.0,2,1,749,3
,2,1,749,8
1640.0,2,2,934,4
1970.0,2,1,768,1
1342.0,2,3,1299,3
1033.0,1,2,823,3
1700.0,2,2,1034,3
910.0,1,2,953,1
,1,4,1547,7
1002.0,1,4,1290,4
3600.0,3,1,744,8
1260.0,2,3,1160,1
,3,1,785,6
1278.0,2,2,1102,4
3650.0,3,2,1140,5
,3,2,957,8
931.0,1,2,975,1
1580.0,2,3,1212,1
6600.0,3,1,638,7
1660.0,2,2,1046,1
,3,2,985,8
1600.0,2,3,1268,2
2220.0,3,2,1017,3
1160.0,1,3,1213,2
3802.0,3,2,1164,6
820.0,1,3,1304,1
1540.0,2,3,1266,3
3840.0,3,1,779,8
,1,2,853,6
1804.0,2,1,641,1
2150.0,3,3,1354,2
,3,1,635,7
1410.0,2,2,1198,3
908.0,1,3,1092,3
,1,2,852,7
2600.0,3,1,709,7
1980.0,2,3,1211,1
1000.0,1,4,1670,2
